id,label
1083,heterotic type ii triality and instantons on k 3
1084,the tachyon potential in open neveu-schwarz string field theory
1085,trans-planckian redshifts and the substance of the space-time river
1086,boundary operators in quantum field theory
1087,the commutativity principle and lagrangian symmetries
1088,mesoscopic fluctuations in stochastic spacetime
1089,noncommutative super yang-mills theories with 8 supercharges and brane
1090,quantum extreme black holes at finite temperature and exactly solvable
1091,dual generalizations of sine-gordon field theory and integrability
1092,gravity in the brane-world for two-branes model with stabilized modulus
1093,scales of string theory
1094,bosonized supersymmetric quantum mechanics and supersymmetry of
1095,conformal anomaly and large scale gravitational coupling
1096,scalar tensor theories and hadamard state condition
1097,the intrinsic coupling in integrable quantum field theories
1098,electromagnetic dipole radiation of oscillating d-branes
1100,gravitating bi sphalerons
1101,standard model vacua in heterotic m-theory
1102,possible instability of the vacuum in a strong magnetic field
1103,softly-broken cal n 4 supersymmetry in the large-n limit
1105,t-duality of non-commutative gauge theories
1106,on the supersymmetric effective action of matrix theory
1107,randall-sundrum gauge in the brane world
1108,aharonov-bohm effect in cyclotron and synchrotron radiations
1109,superconformal hypermultiplets in superspace
1110,effective low energy theories and qcd dirac spectra
1111,on the equivalence between noncommutative and ordinary gauge theories
1112,a cosmological mechanism for stabilizing moduli
1113,an early proposal of brane world
1114,on the classical connection between the wzwn model and topological gauge
1115,fourth order theories without ghosts
1116,fermion in the nonabelian gauge field theory in 2 1 dimensions
1117,quantization of the space-time based on a formless finite fundamental
1118,a note on open strings in the presence of constant b-field
1119,the electrogravity transformation and global monopoles in scalar-tensor
1121,one-loop kahler potential in non-renormalizable theories
1122,finite action in d5 gauged supergravity and dilatonic conformal anomaly
1123,d-branes in type iia and type iib theories from tachyon condensation
1124,lorentzian and euclidean quantum gravity analytical and numerical
1125,open strings born infeld action and the heat kernel
1126,cosmological evolution in compactified horava-witten theory induced by
1127,actions for curved branes
1128,colour valued scattering matrices
1129,algebraic quantum field theory perturbation theory and the loop
1130,on the consistency of orbifolds
1131,supersymmetry of black strings in d 5 gauged supergravities
1132,d-branes at singular curves of calabi-yau compactifications
1133,small instanton transitions in heterotic m-theory
1134,is quantum spacetime infinite dimensional
1135,string junction from non-commutative super yang-mills theory
1136,cancellation of linearised axion-dilaton self interaction divergence in
1137,massive chiral random matrix ensembles at beta 1 4
1138,four-point functions in n 2 superconformal field theories
1140,gravitational properties of monopole spacetimes near the black hole
1141,closed constraint algebras and path integrals for loop group actions
1142,structure of low-energy effective action in n 4 supersymmetric
1143,d-sphalerons and the topology of string configuration space
1144,noncommutative open string
1145,probable values of the cosmological constant in a holographic theory
1146,on electrodynamics of rapidly moving sources
1147,u 1 connection nonlinear dirac-like equations and seiberg-witten
1148,u 1 gauge theory over discrete space-time and phase transitions
1149,on action functionals for interacting brane systems
1150,super-d0-branes at the endpoints of fundamental superstring
1151,hidden local quasi-local and non-local symmetries in integrable systems
1152,a nilpotent symmetry of quantum gauge theories
1153,baby skyrme models for a class of potentials
1154,the reeh-schlieder property for ground states
1155,classical supersymmetric mechanics
1156,chaotic symmetry breaking and dissipative two-field dynamics
1157,some reflections on moduli their stabilization and cosmology
1158,finite group modular data
1159,anti-desitter vacua of gauged supergravities with 8 supercharges
1160,the four-fermi coupling of the supersymmetric non-linear sigma-model on
1161,space-time uncertainty relation and lorentz invariance
1162,decompactification of space or time in large n qcd 2
1163,hopf instantons and the liouville equation in target space
1164,multiple zero modes of the dirac operator in three dimensions
1165,quaternionic metrics from harmonic superspace
1166,a note on solitons in brane worlds
1167,discrete symmetries c p t in noncommutative field theories
1168,double elliptic systems
1169,codimension one branes
1170,brane descent relations in m-theory
1171,vacuum polarization in qed with world-line methods
1172,finite volume spectrum of sine-gordon model and its restrictions
1173,frobenius-schur indicators the klein-bottle amplitude and the
1174,higher order anomaly consistency conditions
1175,instantons and gribov copies in the maximally abelian gauge
1176,pre-big bang cosmology and quantum fluctuations
1177,holography for degenerate boundaries
1178,representations of 1 0 and 2 0 superconformal algebras in six
1179,absorption cross section of scalar field in supergravity background
1180,quantum coherent string states in ads 3 and sl 2 r wzwn model
1181,bound states in the three dimensional phi 4 model
1182,renormalization of noncommutative yang-mills theories
1183,type 0 brane inflation from mirage cosmology
1184,phases of dual superconductivity and confinement in softly broken n 2
1185,new families of flows between two-dimensional conformal field theories
1186,orbifold projection in supersymmetric qcd at n f leq n c
1187,some remarks about gauge-invariant yang-mills fields
1188,spectra of massive and massless qcd dirac operators
1189,invariance theorems for supersymmetric yang-mills theories
1190,s and u-duality constraints on iib s-matrices
1191,actions for biconformal matter
1192,quantum in stability of dilatonic ads backgrounds and holographic
1193,a note on relation between holographic rg equation and polchinski's rg
1194,partial supersymmetry breaking in multidimensional n 4 susy qm
1195,auxiliary representations of lie algebras and the brst constructions
1196,unification of spins and charges in grassmann space and in space of
1197,a small cosmological constant from a large extra dimension
1198,open strings simple currents and fixed points
1199,d-branes in ads 3xs 3xs 3xs 1
1200,d-branes on orbifolds with discrete torsion and topological obstruction
1201,d-brane effective field theory from string field theory
1202,towards cohomology of renormalization
1203,gauge theory on noncommutative spaces
1204,green-schwarz string in ads 5 x s 5
1205,anomaly matching and a hopf-wess-zumino term in 6d n 2 0 field
1206,self-tuning flat domain walls in 5d gravity and string theory
1207,on a possible quantum limit for the stabilization of moduli in
1208,toric calabi-yau fourfolds duality between n 1 theories and divisors
1209,cosmology of randall-sundrum models with an extra dimension stabilized
1210,bogoliubov renormalization group and symmetry of solution in
1211,schwarzschild black hole in the dilatonic domain wall
1212,geometry of orientifolds with ns-ns b-flux
1213,noncommutative and ordinary super yang-mills on d p-2 d p bound
1214,bps states carrying fermionic brane charges
1215,a note on uv ir for noncommutative complex scalar field
1216,automorphisms non-linear realizations and branes
1217,string loop threshold corrections for n 1 generalized coxeter orbifolds
1218,bfv-brst analysis of equivalence between noncommutative and ordinary
1219,effects of trilinear term in softly broken n 1 supersymmetric qcd
1220,spin observables and path integrals
1221,a renormalization group study of the phi phi 3 model coupled to
1222,conserved charges and supersymmetry in principal chiral and wzw models
2001,space-time quantization and nonlocal field theory relativistic second
2002,duality and combinatorics of long strings in ads3
2003,a generalization of the submodel of nonlinear cp 1 models
2004,collapsing d-branes in one-parameter models and small large radius
2006,the tale of gravitational sphaleron
2007,conformal and superconformal mechanics
2008,iib supergravity and various aspects of light-cone formalism in ads
2009,m theory as a matrix extension of chern-simons theory
2010,superspace geometrical realization of the n-extended super virasoro
2011,d-instanton induced interactions on a d3-brane
2012,lie groups calabi-yau threefolds and f-theory
2013,effective action in general chiral superfield model
2014,skyrmions from su 3 harmonic maps and their quantization
2015,induced variational method from supersymmetric quantum mechanics and the
2016,the m atrix model of m-theory
2017,effects of magnetic fields on string pair creation
2019,gravitating instantons in 3 dimensions
2020,non-commutative vs commutative descriptions of d-brane bions
2021,d0-branes as light-front confined quarks
2022,hamiltonian structure of the teleparallel formulation of gr
2023,d-branes b-fields and twisted k-theory
2024,interactions of massive integer-spin fields
2025,a note on the analyticity of ads scalar exchange graphs in the crossed
2026,triplectic quantization of w2 gravity
2027,on ramond-ramond fields and k-theory
2028,on the nonlinear kk reductions on spheres of supergravity theories
2029,non-linear realization of aleph 0 extended supersymmetry
2030,d1 and d5-brane actions in ads m x s n
2031,confinement and the ads cft correspondence
2032,vertex operators in ads 3 times s 3 background with ns ns flux using
2033,quintessence in brane cosmology
2034,exact renormalization group equations an introductory review
2035,superdualities
2037,stability and bps branes
2038,non-ladder extended renormalization group analysis of the dynamical
2039,opes and 4-point functions in ads cft correspondence
2040,thick domain walls and singular spaces
2041,3d van der waals sigma model and its topological excitations
2042,dilatonic randall-sundrum theory and renormalisation group
2043,geometry of the physical phase space in quantum gauge models
2044,tasi lectures on the holographic principle
2045,holomorphy minimal homotopy and the 4d n 1 supersymmetric
2046,supersymmetric pair correlation function of wilson loops
2047,towards a solution of the moduli problems of string cosmology
2049,finite temperature casimir effect for a dilute ball satisfying epsilon
2050,a non-perturbative lorentzian path integral for gravity
2051,the structure of the qcd potential in 2 1 dimensions
2052,holography and t-duality
2053,conformality particle phenomenology and the cosmological constant
2054,localised gravity in the singular domain wall background
2055,self-dual model coupled to bosons
2056,consistency of kaluza-klein sphere reductions of symmetric potentials
2057,infra-red fixed points at the boundary
2058,simulated annealing for topological solitons
2059,d-dimensional conformal sigma models and topological excitations
2060,self-duality beyond chiral p-form actions
2061,non-abelian field theory of stable non-bps branes
2062,constructing the light-front qcd hamiltonian
2063,k-gerbes line bundles and anomalies
2064,casimir energy and thermodynamic properties of the relativistic
2065,first order quantum corrections to the classical reflection factor of
2066,a note on the holographic beta and c functions
2067,evidence for winding states in noncommutative quantum field theory
2068,extended conformal symmetry
2069,on branes ending on branes in supergravity
2070,initial conditions and the structure of the singularity in pre-big-bang
2071,curing the infinite ghost tower in 4d siegel superparticle
2072,opening up extra dimensions at ultra-large scales
2073,casimir effect between world-branes in heterotic m-theory
2074,p-gerbes and extended objects in string theory
2075,the ir uv connection in the non-commutative gauge theories
2076,black diamonds at brane junctions
2077,fundamental extended objects for chern-simons supergravity
2078,on perturbative gravity and gauge theory
2079,the nu nu gamma amplitude in an external homogeneous
2080,factorization of correlation functions in coset conformal field theories
2081,recent results on n 2 superconformal algebras
2082,n 2 supersymmetric kinks and real algebraic curves
2083,bidyon or an electromagnetic model for charged particle with spin
2084,some aspects of deformations of supersymmetric field theories
2085,supersymmetric wilson lines and loops and super non-abelian stokes
2086,intersecting noncommutative d-branes and baryons in magnetic fields
2087,string universality
2088,noether currents for bosonic branes
2089,ratio of quark masses in duality theories
2090,branes and bps configurations of non-commutative commutative gauge
2091,linearized gravity in brane backgrounds
2092,riemann surfaces and schrodinger potentials of gauged supergravity
2093,wilson loops in the adjoint representation and multiple vacua in
2094,string cosmology
2095,nonuniqueness of the lambda phi 4 vacuum
2096,renormalizations in softly broken n 1 theories
2097,chiral compactifications of 6d conformal theories
2098,monopoles dyons and black holes in the four-dimensional
2099,geometry of the embedding of supergravity scalar manifolds in d 11 and
2100,modular invariance in superstring on calabi-yau n-fold with a-d-e
2101,wilson lines on noncommutative tori
2102,towards an algebraic classification of calabi-yau manifolds i
2103,orientifolds with discrete torsion
2104,superstring theory on ads 3 x g h and boundary n 3 superconformal
2105,on the chiral and deconfinement phase transitions in parity-conserving
2106,gauge fields strings duality and the loop equation
2107,the asymptotic groundstate of su 3 matrix theory
2108,time evolution in the external field
2109,promoting finite to infinite symmetries
2110,multi-instantons supersymmetry and topological field theories
2111,on geodesic propagators and black hole holography
2112,yang-mills and supersymmetry covariance must coexist
2113,chaotic behavior in a z 2 x z 2 field theory
2114,class of self-dual models in three dimensions
2115,off-shell formulation of simple supersymmetric yang-mills
2116,harmonic analysis and superconformal gauge theories in three dimensions
2117,d-branes as unstable lumps in bosonic open string field theory
2118,on the spatial structure of monopoles
2119,a note on superfields and noncommutative geometry
2120,dressing symmetries of holomorphic bf theories
2121,bounds on curved domain walls in 5d gravity
2122,the field theory of the q 4 potts model
2123,integrable chain model with additional staggered model parameter
2125,more on counterterms in the gravitational action and anomalies
2126,comments on d branes and the renormalization group
2127,duality and weyl symmetry of 7-brane configurations
2128,absorption by extremal d3-branes
2129,boundary states and non-abelian orbifolds
2130,t self-dual transverse space and gravity trapping
2131,the structure of the d0-d4 bound state
2132,geodesics and newton's law in brane backgrounds
2133,ramond-ramond field transformation
2134,manifestly n 3 supersymmetric euler-heisenberg action in light-cone
2135,implications of n 2 superconformal symmetry
2136,precise determination of critical exponents and equation of state by
2138,noncommutative gauge theories from deformation quantization
2139,loop variables and gauge invariant interactions i
2140,two-time physics with gravitational and gauge field backgrounds
2141,superspace representations of su 2 2 n superalgebras and multiplet
2142,logarithmic conformal field theories near a boundary
2143,axial anomaly in noncommutative qed on r 4
2144,finite energy action solutions of p 1 yang-mills equations on p 2
2145,desitter entropy quantum entanglement and ads cft
2146,a new class of supersymmetric orientifolds with d-branes at angles
2147,bulk fields in dilatonic and self-tuning flat domain walls
2148,macroscopic and microscopic non universality of compact support random
2149,anomalies tadpoles
2150,non-planar string networks on tori
2151,yang-mills instantons in the gravitational instanton backgrounds
2152,scalar quartic effective action on ads 5
2153,absence of asymptotic freedom in non-abelian models
2154,aspects of the conformal operator product expansion in ads cft
2155,ring division algebras self-duality and supersymmetry
2156,the fefferman-graham ambiguity and ads black holes
2157,ramond-ramond field radiation from rotating ellipsoidal membranes
2158,nonperturbative dynamics of noncommutative gauge theory
2159,gravity duals of supersymmetric su n x su n m gauge theories
2160,curvature singularities
2161,quasi-localization of gravity by resonant modes
2162,dilatonic formulation for conducting cosmic string models
2164,a comment on self-tuning and vanishing cosmological constant in the
2165,superstrings gauge fields and black holes
2166,kaluza-klein black holes in string theory
2167,vector supersymmetry in topological field theories
2168,holomorphic vector bundles knots and the rozansky-witten invariants
2169,string partition functions and infinite products
2170,four-point functions of lowest weight cpos in n 4 sym 4 in supergravity
2171,chiral gauge anomalies on noncommutative r 4
2172,the holographic rg flow to conformal and non-conformal theory
2173,torsionless t-selfdual affine na toda models
2174,brane world scenarios and the cosmological constant
2175,pinned branes and new non lorentz invariant theories
2176,domain wall junctions in supersymmetric field theories in d 4
2177,quantum field theories on null surfaces
2178,vacuum polarization for neutral particles in 2 1 dimensions
2179,casimir effect in background of static domain wall
2180,non-abelian born-infeld versus string theory
2181,fractal index central charge and fractons
2182,a consistent electromagnetic duality
2183,higher spin symmetries star-product and relativistic equations in ads
2184,a review of the d1 d5 system and five dimensional black hole from
2185,large and small density approximations to the thermodynamic bethe ansatz
2186,comments on noncommutative perturbative dynamics
2187,a note on interactions of non-commutative instantons via ads cft
2188,constructing classical and quantum superconformal algebras on the
2189,free large n supersymmetric yang-mills theory as a string theory
2190,metastable gravitons and infinite volume extra dimensions
2191,regular bps black holes
2192,a new supersymmetric compactification of chiral iib supergravity
2193,noncommutative instantons and twistor transform
2194,constraints on effective lagrangian of d-branes from non-commutative
2195,new applications of the chiral anomaly
2196,renormalization group improved black hole spacetimes
2197,witten-veneziano relation for the schwinger model
2198,on type ii ns5-branes in the presence of an rr field
2199,supergravity predictions on conformal field theories
2200,p-brane black holes as stability islands
2201,study of a model of quantum electrodynamics
2202,infra-red dynamics of d1-branes at the conifold
2203,qed out of matter
2204,diverse pbgs patterns and superbranes
2205,hyperkahler singularities in superstrings compactification and 2d n 4
2206,asymptotic dynamics in quantum field theory when does the coupling
2207,poisson algebra of 2d dimensionally reduced gravity
2208,thermal quantum fields in static electromagnetic backgrounds
2209,smooth gauge strings and d 2 lattice yang-mills theories
2210,a note on consistent anomalies in noncommutative ym theories
2211,tachyon condensation in superstring field theory
2212,deformation quantization of bosonic strings
2213,reflection amplitudes in non-simply laced toda theories and
2214,non-perturbative string connections
2215,cosmological perturbation spectra from sl 4 r invariant effective
2216,geometric construction of ads twistors
2217,duality between coordinates and dirac field
2218,on the boundary ising model with disorder operators
2219,massive symmetric space sine-gordon soliton theories and perturbed
2220,the dynamics of collapsing monopoles and regular black holes
2221,knot theory from a chern-simons gauge theory point of view
2222,mirror symmetry
2223,confinement on the brane
2224,a novel superstring in four dimensions and grand unification
2225,universal ratios in the 2-d tricritical ising model
2226,notes on fluctuations and correlation functions in holographic
2227,crystallographic orbifolds
2228,the vacua of 5d n 2 gauged yang-mills einstein tensor supergravity
2229,dual instantons
2230,holographic reconstruction of spacetime and renormalization in the
2231,scheme dependence of the wilsonian effective action and sharp cutoff
2232,extended complex trigonometry in relation to integrable 2d-quantum field
2233,the exotic galilei group and the peierls substitution
2234,a generalized p-form model in d 3
2235,aspects of holography and rotating ads black holes
2236,the wess-zumino-witten term in non-commutative two-dimensional fermion
2237,level truncation and the tachyon in open bosonic string field theory
2238,a geometrical description of the consistent and covariant chiral anomaly
2239,the generalized abel-plana formula applications to bessel functions and
2240,complete classification of reflexive polyhedra in four dimensions
2241,tree amplitudes and two-loop counterterms in d 11 supergravity
2242,moduli spaces for four and five dimensional black holes
2243,a nonperturbative study of three-dimensional phi 4 theory
2244,orientifolds m-theory and the abcd's of the enhancon
2245,local brst cohomology in gauge theories
2246,reflexive polyhedra and their applications in string and f-theory
2247,a uniform model of the massive spinning particle in any dimension
2248,effective dual higgs mechanism with confining forces
2249,ads cft correspondence and type 0 string theory
2250,thermodynamics of field theories from spinning branes
2251,the diagonalization of quantum field hamiltonians
2252,black holes and u-duality in diverse dimensions
2254,renormalization group domains of the scalar hamiltonian
2255,three dimensional conformal field theories from sasakian seven-manifolds
2256,symmetry breaking central charges and the ads 2 cft 1 correspondence
2258,conformal nature of the hawking radiation
2259,one particular approach to the non-equilibrium quantum dynamics
3001,confinement and screening of the schwinger model on the poincare half
3002,brane world with bulk horizons
3003,a quantum field theory of dyons
3004,the holographic principle
3005,determinism and dissipation in quantum gravity erice lecture
3006,a short survey of noncommutative geometry
3007,induced chern-simons and wzw action in noncommutative spacetime
3008,measurability of the non-minimal coupling
3009,massive chiral random matrix ensembles at beta 1 4
3010,classification of constraints using chain by chain method
3011,massive spin 3 2 electrodynamics
3012,twisted bundle on noncommutative space and u 1 instanton
3013,vanishing next-to-leading corrections to the beta-function of the susy
3014,renormalization of the inverse square potential
3015,a quantum peierls-nabarro barrier
3016,gravitational waves in open de sitter space
3017,a note on r-currents and trace anomalies in the 2 0 tensor multiplet
3018,untwisting noncommutative r d and the equivalence of quantum field
3019,lectures on strings d-branes and gauge theories
3020,graviton propagators brane bending and bending of light in theories
3021,charged matter
3022,stable non-bps d-branes of type i
3023,embedding branes in flat two-time spaces
3024,asymmetric orbifolds noncommutative geometry and type i string vacua
3025,on orientifolds discrete torsion branes and m theory
3026,correlation functions of chiral primary operators in perturbative cal
3027,the role of complex structures in w-symmetry
3028,vector supersymmetry of chern-simons theory at finite temperature
3029,symplectic fermions
3030,su 2 gauge theory in covariant maximal abelian gauges
3031,lumps and p-branes in open string field theory
3032,what does the string gauge correspondence teach us about wilson loops
3033,the spacetime life of a non-bps d-particle
3034,real-normalized whitham hierarchies and the wdvv equations
3035,comments on n 4 superconformal algebras
3036,some remarks on the free fields realization of the bosonic string on
3037,flux stabilization of d-branes
3038,on the correspondence between gravity fields and cft operators
3039,quantisation of extended objects
3040,on mass dependences of the one-loop effective action in simple
3041,dimensional reduction gauged d 5 supergravity and brane solutions
3042,renormalization group flows from gravity in anti-de sitter space versus
3043,confining strings in the abelian-projected su 3 gluodynamics
3044,string-generated quartic scalar interactions
3045,gravity and antigravity in a brane world with metastable gravitons
3046,boundaries of zero scalar curvature in the ads cft correspondence
3047,w-symmetries on the homogeneous space g u 1 r
3048,hamilton-jacobi equations and brane associated lagrangians
3049,high-precision estimate of g4 in the 2d ising model
3050,rg flow wilson loops and the dilaton tadpole
3051,conformal primaries of osp 8 4 r and bps states in ads4
3052,brane new world
3053,modular invariant critical superstrings on four-dimensional minkowski
3054,a comment on brane bending and ghosts in theories with infinite extra
3055,wilson loops in n 4 supersymmetric yang mills theory
3056,the strong and weak holographic principles
3057,su 2 wzw d-branes and their non-commutative geometry from dbi action
3058,holographic bound from second law of thermodynamics
3059,minimal surfaces and reggeization in the ads cft correspondence
3060,kaehler forms and cosmological solutions in type ii supergravities
3061,black holes on the brane
3062,axial current in qed and semi-naive dimensional renormalization
3063,special properties of five dimensional bps rotating black holes
3064,solvable matrix models
3065,field theory as a matrix model
3066,fate of kaluza-klein bubble
3067,a critical cosmological constant from millimeter extra dimensions
3068,wilson loop via ads cft duality
3069,anomalous interactions of five dimensional usp 2k gauge theory
3070,two-loop yang-mills theory in the world-line formalism and an
3071,supersymmetry of topological kerr-newmann-taub-nut-ads spacetimes
3072,on seven-brane and instanton solutions of type iib
3073,regular and black-hole solutions of the einstein-yang-mills-higgs
3074,brane universe and multigravity
3075,invasion of the giant gravitons from anti-de sitter space
3076,holographic rg and cosmology in theories with quasi-localized gravity
3077,the condition 0 z 1 and an intrinsic mass scale in quantum field
3078,on the effective n 1 supergravity of m-theory
3079,dynamics of multiparticle systems with non abelian symmetry
3080,twist decomposition of nonlocal light-cone operators ii
3081,black hole pair creation in de sitter space
3082,light-cone representation of the spin and orbital angular momentum of
3083,searching for s-duality in gravitation
3084,quantum spinor field in the frw universe with a constant electromagnetic
3085,d-brane gauge theories from toric singularities and toric duality
3086,the interface of cosmology with string and m illennium theory
3087,electrons and photons
3089,the central charge in 3d simple superalgebra
3090,testing sdlcq in 2 1 dimensions
3091,a new basis function approach to t hooft equation
3092,canonical transformations and soldering
3093,comments on instantons on noncommutative r 4
3094,realistic regularization of the qed green functions
3095,the rest-frame instant form of relativistic perfect fluids and of
3096,three-loop four-point correlator in n 4 sym
3097,dynamical symmetry breaking and static limits of extended
3098,decomposing quantum fields on branes
3099,some properties of non-linear sigma models in noncommutative geometry
3100,two-time physics in field theory
3101,on the relevance of tachyons
3102,new ads 3 x g h compactifications of chiral iib supergravity
3103,consistent so 6 reduction of type iib supergravity on s 5
3105,disentangling intertwined embedded states and spin effects in
3106,action with manifest duality for maximally supersymmetric
3107,double symmetries in field theories
3108,topological symmetries
3109,brane worlds
3110,on relevant boundary perturbations of unitary minimal models
3111,fermionic realisations of simple lie algebras
3112,quantization of point-like particles and consistent relativistic quantum
3113,diagrams of noncommutative phi-three theory from string theory
3114,fedosov deformation quantization as a brst theory
3115,glueball spectrum for qcd from ads supergravity duality
3116,a note on gravity-scalar fluctuations in holographic rg flow geometries
3117,supersymmetric randall-sundrum scenario
3118,black holes radiate mainly on the brane
3119,lattice gauge theories and the ads cft correspondence
3120,local quantum observables in the anti-desitter conformal qft
3121,towards the matrix model of m-theory on a lattice
3122,tachyon couplings on non-bps d-branes and dirac-born-infeld action
3123,scalar field in any dimension from the higher spin gauge theory
3124,vortex pair creation on brane-antibrane pair via marginal deformation
3125,on non l 2 solutions to the seiberg-witten equations
3126,relativistic wave equations with fractional derivatives and
3127,algebraic characterization of constraints and generation of mass in
3128,new local symmetry for qed in two dimensions
3129,testing the ads cft correspondence beyond large n
3130,anyon spin and the exotic central extension of the planar galilei group
3131,noncommutative riemann surfaces
3132,on the relationship of gravitational constants in kk reduction
3133,black hole formation in bidimensional dilaton gravity coupled to scalar
3134,anomalies and symmetries of the regularized action
3135,refining the anomaly consistency condition
3136,the string dual of a confining four-dimensional gauge theory
3137,noncommutative field theory and spontaneous symmetry breaking
3138,dirac strings and monopoles in the continuum limit of su 2 lattice
3139,chaos in superstring cosmology
3140,critical thermodynamics of the two-dimensional systems in five-loop
3141,the phase of the scattering matrix
3142,non-supersymmetric cousins of supersymmetric gauge theories
3143,vacuum energy in the presence of a magnetic string with delta function
3144,heavy fermion stabilization of solitons in 1 1 dimensions
3145,uv ir mixing in noncommutative field theory via open string loops
3146,fields on the poincare group
3147,consistency conditions for holographic duality
3148,dilatonic brane-world black holes gravity localization and newton
3149,brst invariance and renormalisability of the su 2 times u 1
3150,nonperturbative approach to a simple model with ultraviolet divergent
3151,a study of holographic renormalization group flows in d 6 and d 3
3152,anomalous u 1 gauge symmetries and heterotic-typei ii string duality
3153,kaluza-klein induced gravity inflation
3154,n 4 4 2d supergravity in su 2 xsu 2 harmonic superspace
3155,spin and abelian electromagnetic duality on four-manifolds
3156,duality equivalence mass and the quest for the vacuum
3157,supersymmetric black hole solutions with r 2 interactions
3158,dynamical casimir effect and quantum cosmology
3159,chiral random matrix model for critical statistics
3160,noncommutative solitons
3161,on the supersymmetry and gauge structure of matrix theory
3162,no ghost state in the brane world
3163,raiders of the lost ads
3164,k ahler potential of moduli space of calabi-yau d fold embedded in
3165,k ahler potential of moduli space in large radius region of calabi-yau
3166,comments on central charge of topological sigma model with calabi-yau
3167,renormalisability of the su 2 times u 1 electroweak theory with
3168,m-theory n 1 effective supergravity in four dimensions
3169,the type iia ns5 brane
3170,couplings of gravity to antisymmetric gauge fields
3171,two-loop feynman diagrams in yang-mills theory from bosonic string
3172,gravitational anomalies in a dispersive approach
3173,fuzzy gravitons from uncertain spacetime
3174,dilatonic p-branes and brane worlds
3175,tasi lectures on m theory phenomenology
3176,uv ir mixing for noncommutative complex scalar field theory ii
3177,target space duality i
3178,target space duality ii
3179,schwinger-dyson wheeler-dewitt
3180,string theory and noncommutative field theories at one loop
3181,nonlinear realization of superconformal symmetry and liouville equation
3182,superextension n 2 2 of the complex liouville equation and its
3183,renormalization group flows on d3 branes at an orbifolded conifold
3184,boundary logarithmic conformal field theory
3185,effective action of matter fields in four-dimensional string
3186,magnetic photon splitting
3187,brane dynamics in background fluxes and non-commutative geometry
3188,renormalization in quantum field theory and the riemann-hilbert problem
3189,quantum groups and field theory
